,GANBLR++-LR,GANBLR++-MLP,GANBLR++-RF,GANBLR++-XGB,GANBLR++-AVG,GANBLR-LR,GANBLR-MLP,GANBLR-RF,GANBLR-XGB,GANBLR-AVG,CTGAN-LR,CTGAN-MLP,CTGAN-RF,CTGAN-XGB,CTGAN-AVG,NB-LR,NB-MLP,NB-RF,NB-XGB,NB-AVG,RLiG-LR,RLiG-MLP,RLiG-RF,RLiG-AVG,GREAT-LR,GREAT-MLP,GREAT-RF,GREAT-XGB,GREAT-AVG,TABSYN-LR,TABSYN-MLP,TABSYN-RF,TABSYN-XGB,TABSYN-AVG
Rice,0.9186351706036744,0.9033245844269469,0.9037620297462816,0.9146981627296588,0.9101049868766404,0.9173228346456692,0.9133858267716536,0.8972003499562554,0.9081364829396326,0.9090113735783026,0.4593175853018372,0.5586176727909011,0.5511811023622047,0.5538057742782152,0.5307305336832896,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.9081364829396326,0.8897637795275591,0.9037620297462816,0.9005540974044911,0.2454068241469816,0.3079615048118985,0.2020997375328084,0.2335958005249344,0.2472659667541557,0.6561679790026247,0.5818022747156606,0.5796150481189851,0.5984251968503937,0.604002624671916
Car,0.6822916666666666,0.685763888888889,0.6475694444444445,0.65625,0.66796875,0.7291666666666666,0.6944444444444443,0.6631944444444445,0.6510416666666666,0.6844618055555555,0.609375,0.6545138888888888,0.5711805555555555,0.5520833333333334,0.5967881944444445,0.6510416666666666,0.6371527777777778,0.6510416666666666,0.6510416666666666,0.6475694444444443,0.7222222222222222,0.7743055555555557,0.7395833333333334,0.7453703703703703,0.3177083333333333,0.2291666666666666,0.2899305555555556,0.2916666666666667,0.2821180555555556,0.640625,0.6354166666666666,0.5729166666666666,0.5572916666666666,0.6015624999999999
PokerHand,0.9186351706036744,0.9072615923009624,0.9028871391076116,0.9133858267716536,0.9105424321959756,0.9173228346456692,0.904636920384952,0.8976377952755906,0.9081364829396326,0.906933508311461,0.4593175853018372,0.5271216097987752,0.5590551181102362,0.5538057742782152,0.524825021872266,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.8902012248468942,0.8783902012248469,0.8875765529308836,0.8853893263342082,0.2454068241469816,0.305336832895888,0.2025371828521434,0.2493438320209973,0.2506561679790026,0.6561679790026247,0.631233595800525,0.5726159230096238,0.5984251968503937,0.6146106736657918
Adult,0.9133858267716536,0.899387576552931,0.8976377952755904,0.910761154855643,0.9052930883639544,0.9173228346456692,0.9076990376202976,0.894575678040245,0.9081364829396326,0.906933508311461,0.4593175853018372,0.4864391951006124,0.5590551181102362,0.5538057742782152,0.5146544181977253,0.5721784776902887,0.5708661417322834,0.5721784776902887,0.5721784776902887,0.5718503937007874,0.9111986001749782,0.905511811023622,0.9120734908136484,0.9095946340040828,0.2454068241469816,0.2462817147856517,0.2007874015748031,0.2335958005249344,0.2315179352580927,0.6561679790026247,0.5713035870516185,0.5831146106736659,0.5984251968503937,0.6022528433945756
TicTacToe,0.9186351706036744,0.9033245844269469,0.9037620297462816,0.9146981627296588,0.9101049868766404,0.9173228346456692,0.9133858267716536,0.8972003499562554,0.9081364829396326,0.9090113735783026,0.4593175853018372,0.5586176727909011,0.5511811023622047,0.5538057742782152,0.5307305336832896,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.904636920384952,0.8858267716535432,0.8928258967629047,0.8944298629338001,0.2454068241469816,0.1972878390201224,0.2090988626421697,0.2493438320209973,0.2252843394575678,0.6561679790026247,0.6093613298337708,0.5971128608923885,0.5984251968503937,0.6152668416447945
Chess,0.734375,0.689236111111111,0.6736111111111112,0.6354166666666666,0.6831597222222222,0.7291666666666666,0.6961805555555555,0.6684027777777778,0.6510416666666666,0.6861979166666666,0.609375,0.6458333333333334,0.5625,0.5520833333333334,0.5924479166666667,0.6510416666666666,0.6666666666666666,0.6510416666666666,0.6510416666666666,0.6549479166666665,0.7100694444444445,0.7569444444444445,0.7690972222222223,0.7453703703703703,0.3177083333333333,0.1597222222222222,0.2777777777777778,0.2864583333333333,0.2604166666666666,0.640625,0.6527777777777778,0.5659722222222223,0.5572916666666666,0.6041666666666666
letter_rocog,0.9186351706036744,0.9033245844269469,0.9037620297462816,0.9146981627296588,0.9101049868766404,0.9173228346456692,0.9133858267716536,0.8972003499562554,0.9081364829396326,0.9090113735783026,0.4593175853018372,0.5586176727909011,0.5511811023622047,0.5538057742782152,0.5307305336832896,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.9116360454943132,0.8919510061242345,0.9033245844269464,0.9023038786818316,0.2454068241469816,0.3057742782152231,0.2034120734908136,0.2335958005249344,0.2470472440944882,0.6561679790026247,0.5835520559930009,0.5756780402449694,0.5984251968503937,0.6034558180227472
Magic,0.9186351706036744,0.9033245844269469,0.9037620297462816,0.9146981627296588,0.9101049868766404,0.9173228346456692,0.9133858267716536,0.8972003499562554,0.9081364829396326,0.9090113735783026,0.4593175853018372,0.5586176727909011,0.5511811023622047,0.5538057742782152,0.5307305336832896,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.9098862642169728,0.8950131233595799,0.9072615923009624,0.904053659959172,0.2454068241469816,0.284339457567804,0.1981627296587926,0.2664041994750656,0.2485783027121609,0.6561679790026247,0.6093613298337708,0.584864391951006,0.5984251968503937,0.6122047244094488
Nursery,0.734375,0.7152777777777778,0.6684027777777777,0.6354166666666666,0.6883680555555555,0.7291666666666666,0.670138888888889,0.6579861111111112,0.6510416666666666,0.6770833333333334,0.609375,0.6493055555555557,0.5711805555555555,0.5520833333333334,0.5954861111111112,0.6510416666666666,0.6510416666666666,0.6510416666666666,0.6510416666666666,0.6510416666666666,0.7065972222222223,0.7916666666666666,0.7239583333333334,0.7407407407407408,0.3177083333333333,0.1927083333333333,0.2916666666666667,0.28125,0.2708333333333333,0.640625,0.6354166666666666,0.5590277777777778,0.5572916666666666,0.5980902777777778
Room Occupancy,0.9186351706036744,0.9033245844269469,0.9037620297462816,0.9146981627296588,0.9101049868766404,0.9173228346456692,0.9133858267716536,0.8972003499562554,0.9081364829396326,0.9090113735783026,0.4593175853018372,0.5586176727909011,0.5511811023622047,0.5538057742782152,0.5307305336832896,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.904636920384952,0.8805774278215224,0.8919510061242345,0.8923884514435695,0.2454068241469816,0.2755905511811024,0.1968503937007874,0.2335958005249344,0.2378608923884514,0.6561679790026247,0.6189851268591426,0.5769903762029746,0.5984251968503937,0.6126421697287839
Maternal Health,0.9186351706036744,0.9072615923009624,0.9028871391076116,0.9133858267716536,0.9105424321959756,0.9173228346456692,0.904636920384952,0.8976377952755906,0.9081364829396326,0.906933508311461,0.4593175853018372,0.5271216097987752,0.5590551181102362,0.5538057742782152,0.524825021872266,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.916885389326334,0.905511811023622,0.9133858267716536,0.9119276757072032,0.2454068241469816,0.2996500437445319,0.194663167104112,0.2493438320209973,0.2472659667541557,0.6561679790026247,0.5590551181102362,0.5988626421697288,0.5984251968503937,0.6031277340332458
Loan,0.6822916666666666,0.6770833333333334,0.6649305555555557,0.65625,0.670138888888889,0.7291666666666666,0.7118055555555555,0.6597222222222222,0.6510416666666666,0.6879340277777777,0.609375,0.6440972222222222,0.546875,0.5520833333333334,0.588107638888889,0.6510416666666666,0.6510416666666666,0.6510416666666666,0.6510416666666666,0.6510416666666666,0.6944444444444445,0.7725694444444445,0.7777777777777778,0.7482638888888888,0.3177083333333333,0.189236111111111,0.2916666666666667,0.2916666666666667,0.2725694444444445,0.640625,0.6510416666666666,0.5590277777777778,0.5572916666666666,0.6019965277777777
Credit,0.9133858267716536,0.899387576552931,0.8976377952755904,0.910761154855643,0.9052930883639544,0.9173228346456692,0.9076990376202976,0.894575678040245,0.9081364829396326,0.906933508311461,0.4593175853018372,0.4864391951006124,0.5590551181102362,0.5538057742782152,0.5146544181977253,0.5721784776902887,0.5708661417322834,0.5721784776902887,0.5721784776902887,0.5718503937007874,0.8985126859142607,0.8976377952755906,0.8884514435695537,0.8948673082531351,0.2454068241469816,0.2143482064741907,0.2012248468941382,0.2493438320209973,0.2275809273840769,0.6561679790026247,0.5962379702537183,0.5949256342957131,0.5984251968503937,0.6114391951006124
Connect-4,0.9186351706036744,0.9072615923009624,0.9028871391076116,0.9133858267716536,0.9105424321959756,0.9173228346456692,0.904636920384952,0.8976377952755906,0.9081364829396326,0.906933508311461,0.4593175853018372,0.5271216097987752,0.5590551181102362,0.5538057742782152,0.524825021872266,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.9120734908136484,0.8950131233595799,0.905511811023622,0.9041994750656168,0.2454068241469816,0.2769028871391076,0.2112860892388451,0.2335958005249344,0.2417979002624672,0.6561679790026247,0.5940507436570429,0.6014873140857393,0.5984251968503937,0.6125328083989502
