,GANBLR++-LR,GANBLR++-MLP,GANBLR++-RF,GANBLR++-XGB,GANBLR++-AVG,GANBLR-LR,GANBLR-MLP,GANBLR-RF,GANBLR-XGB,GANBLR-AVG,CTGAN-LR,CTGAN-MLP,CTGAN-RF,CTGAN-XGB,CTGAN-AVG,CTABGAN-LR,CTABGAN-MLP,CTABGAN-RF,CTABGAN-XGB,CTABGAN-AVG,NB-LR,NB-MLP,NB-RF,NB-XGB,NB-AVG,RLiG-LR,RLiG-MLP,RLiG-RF,RLiG-AVG,GREAT-LR,GREAT-MLP,GREAT-RF,GREAT-XGB,GREAT-AVG,TABSYN-LR,TABSYN-MLP,TABSYN-RF,TABSYN-XGB,TABSYN-AVG
Adult,0.9133858267716536,0.899387576552931,0.8976377952755904,0.910761154855643,0.9052930883639544,0.9173228346456692,0.9076990376202976,0.894575678040245,0.9081364829396326,0.906933508311461,0.6430446194225722,0.5643044619422573,0.5905511811023622,0.5144356955380578,0.5780839895013123,0.8727034120734908,0.8849518810148731,0.8552055993000875,0.863517060367454,0.8690944881889763,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.905511811023622,0.8980752405949256,0.9002624671916011,0.9012831729367162,0.2454068241469816,0.2051618547681539,0.2016622922134733,0.2204724409448818,0.2181758530183727,0.6561679790026247,0.589676290463692,0.5699912510936134,0.5984251968503937,0.6035651793525809
Chess,0.9186351706036744,0.9033245844269469,0.9037620297462816,0.9146981627296588,0.9101049868766404,0.9173228346456692,0.9133858267716536,0.8972003499562554,0.9081364829396326,0.9090113735783026,0.6430446194225722,0.5708661417322834,0.5901137357830272,0.5144356955380578,0.5796150481189851,0.8543307086614172,0.8705161854768154,0.8499562554680665,0.8517060367454068,0.8566272965879266,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.915573053368329,0.9068241469816272,0.9098862642169728,0.910761154855643,0.2454068241469816,0.2532808398950131,0.2016622922134733,0.2506561679790026,0.2377515310586176,0.6561679790026247,0.6351706036745407,0.583989501312336,0.5984251968503937,0.6184383202099738
Connect-4,0.9133858267716536,0.899387576552931,0.8976377952755904,0.910761154855643,0.9052930883639544,0.9173228346456692,0.9076990376202976,0.894575678040245,0.9081364829396326,0.906933508311461,0.6430446194225722,0.5643044619422573,0.5905511811023622,0.5144356955380578,0.5780839895013123,0.863517060367454,0.8779527559055117,0.8162729658792651,0.8215223097112861,0.8448162729658794,0.5721784776902887,0.5774278215223098,0.5721784776902887,0.5721784776902887,0.573490813648294,0.8985126859142607,0.8867016622922135,0.8897637795275591,0.8916593759113444,0.2454068241469816,0.284339457567804,0.1981627296587926,0.2493438320209973,0.2443132108486439,0.6561679790026247,0.6255468066491688,0.5861767279090113,0.5984251968503937,0.6165791776027997
Credit,0.9133858267716536,0.899387576552931,0.8976377952755904,0.910761154855643,0.9052930883639544,0.9173228346456692,0.9076990376202976,0.894575678040245,0.9081364829396326,0.906933508311461,0.6430446194225722,0.5643044619422573,0.5905511811023622,0.5144356955380578,0.5780839895013123,0.8517060367454068,0.8639545056867891,0.857830271216098,0.8464566929133858,0.8549868766404201,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.9116360454943132,0.8976377952755906,0.8967629046369203,0.9020122484689416,0.2454068241469816,0.300087489063867,0.2069116360454943,0.2335958005249344,0.2465004374453193,0.6561679790026247,0.5774278215223098,0.5905511811023622,0.5984251968503937,0.6056430446194226
NSL-KDD,0.9186351706036744,0.9033245844269469,0.9037620297462816,0.9146981627296588,0.9101049868766404,0.9173228346456692,0.9133858267716536,0.8972003499562554,0.9081364829396326,0.9090113735783026,0.6430446194225722,0.5708661417322834,0.5901137357830272,0.5144356955380578,0.5796150481189851,0.8700787401574802,0.8473315835520561,0.8398950131233596,0.8569553805774278,0.8535651793525809,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.9164479440069992,0.8972003499562554,0.9046369203849518,0.9060950714494022,0.2454068241469816,0.2725284339457567,0.1964129483814523,0.2493438320209973,0.240923009623797,0.6561679790026247,0.60498687664042,0.5778652668416449,0.5984251968503937,0.6093613298337709
letter_rocog,0.9186351706036744,0.9072615923009624,0.9028871391076116,0.9133858267716536,0.9105424321959756,0.9173228346456692,0.904636920384952,0.8976377952755906,0.9081364829396326,0.906933508311461,0.6430446194225722,0.5743657042869642,0.5765529308836396,0.5144356955380578,0.5770997375328084,0.8490813648293963,0.8718285214348206,0.8455818022747157,0.84251968503937,0.8522528433945755,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.9125109361329834,0.9011373578302712,0.9020122484689412,0.905220180810732,0.2454068241469816,0.2939632545931758,0.2042869641294838,0.2493438320209973,0.2482502187226597,0.6561679790026247,0.615923009623797,0.588801399825022,0.5984251968503937,0.6148293963254593
Loan,0.9186351706036744,0.9033245844269469,0.9037620297462816,0.9146981627296588,0.9101049868766404,0.9173228346456692,0.9133858267716536,0.8972003499562554,0.9081364829396326,0.9090113735783026,0.6430446194225722,0.5708661417322834,0.5901137357830272,0.5144356955380578,0.5796150481189851,0.8490813648293963,0.8556430446194225,0.8241469816272966,0.8385826771653543,0.8418635170603674,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.9186351706036744,0.8989501312335958,0.89501312335958,0.9041994750656168,0.2454068241469816,0.2974628171478565,0.1942257217847769,0.2493438320209973,0.2466097987751531,0.6561679790026247,0.6097987751531059,0.5826771653543307,0.5984251968503937,0.6117672790901137
Magic,0.9186351706036744,0.9072615923009624,0.9028871391076116,0.9133858267716536,0.9105424321959756,0.9173228346456692,0.904636920384952,0.8976377952755906,0.9081364829396326,0.906933508311461,0.6430446194225722,0.5743657042869642,0.5765529308836396,0.5144356955380578,0.5770997375328084,0.8661417322834645,0.8827646544181977,0.8206474190726158,0.8333333333333334,0.850721784776903,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.9098862642169728,0.9006999125109361,0.9002624671916011,0.9036162146398368,0.2454068241469816,0.2462817147856518,0.2016622922134733,0.2664041994750656,0.239938757655293,0.6561679790026247,0.5918635170603674,0.5800524934383202,0.5984251968503937,0.6066272965879266
Maternal Health,0.9133858267716536,0.899387576552931,0.8976377952755904,0.910761154855643,0.9052930883639544,0.9173228346456692,0.9076990376202976,0.894575678040245,0.9081364829396326,0.906933508311461,0.6430446194225722,0.5643044619422573,0.5905511811023622,0.5144356955380578,0.5780839895013123,0.8661417322834645,0.8757655293088363,0.863079615048119,0.8490813648293963,0.8635170603674541,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.9142607174103238,0.9033245844269469,0.9050743657042868,0.9075532225138524,0.2454068241469816,0.2502187226596675,0.2042869641294838,0.2335958005249344,0.2333770778652668,0.6561679790026247,0.5594925634295712,0.5756780402449694,0.5984251968503937,0.5974409448818898
Nursery,0.9186351706036744,0.9033245844269469,0.9037620297462816,0.9146981627296588,0.9101049868766404,0.9173228346456692,0.9133858267716536,0.8972003499562554,0.9081364829396326,0.9090113735783026,0.6430446194225722,0.5708661417322834,0.5901137357830272,0.5144356955380578,0.5796150481189851,0.8451443569553806,0.8486439195100614,0.826334208223972,0.8333333333333334,0.8383639545056868,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.884076990376203,0.8692038495188101,0.8775153105861767,0.8769320501603967,0.2454068241469816,0.2672790901137358,0.1959755030621172,0.2335958005249344,0.2355643044619422,0.6561679790026247,0.5909886264216972,0.584864391951006,0.5984251968503937,0.6076115485564305
PokerHand,0.9186351706036744,0.9072615923009624,0.9028871391076116,0.9133858267716536,0.9105424321959756,0.9173228346456692,0.904636920384952,0.8976377952755906,0.9081364829396326,0.906933508311461,0.6430446194225722,0.5743657042869642,0.5765529308836396,0.5144356955380578,0.5770997375328084,0.8648293963254593,0.8657042869641295,0.8438320209973753,0.8412073490813649,0.8538932633420823,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.9081364829396326,0.9033245844269469,0.9081364829396326,0.9065325167687373,0.2454068241469816,0.2729658792650919,0.1955380577427821,0.2493438320209973,0.2408136482939632,0.6561679790026247,0.5822397200349956,0.5879265091863517,0.5984251968503937,0.6061898512685914
Rice,0.9186351706036744,0.9033245844269469,0.9037620297462816,0.9146981627296588,0.9101049868766404,0.9173228346456692,0.9133858267716536,0.8972003499562554,0.9081364829396326,0.9090113735783026,0.6430446194225722,0.5708661417322834,0.5901137357830272,0.5144356955380578,0.5796150481189851,0.868766404199475,0.8748906386701663,0.8363954505686789,0.8464566929133858,0.8566272965879266,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.9155730533683292,0.9050743657042868,0.9081364829396325,0.9095946340040828,0.2454068241469816,0.3153980752405949,0.1977252843394575,0.2335958005249344,0.2480314960629921,0.6561679790026247,0.5988626421697288,0.600174978127734,0.5984251968503937,0.6134076990376204
Car,0.6822916666666666,0.6753472222222222,0.642361111111111,0.65625,0.6640625,0.7291666666666666,0.6770833333333334,0.6770833333333334,0.6510416666666666,0.68359375,0.609375,0.6545138888888888,0.5746527777777778,0.5520833333333334,0.59765625,0.65625,0.640625,0.6163194444444445,0.6197916666666666,0.6332465277777778,0.6666666666666666,0.6614583333333334,0.6631944444444445,0.6302083333333334,0.6553819444444444,0.720486111111111,0.7152777777777778,0.6805555555555555,0.7054398148148148,0.3177083333333333,0.2326388888888888,0.2881944444444444,0.265625,0.2760416666666666,0.640625,0.6440972222222222,0.5642361111111112,0.5572916666666666,0.6015625
Room Occupancy,0.9133858267716536,0.899387576552931,0.8976377952755904,0.910761154855643,0.9052930883639544,0.9173228346456692,0.9076990376202976,0.894575678040245,0.9081364829396326,0.906933508311461,0.6430446194225722,0.5643044619422573,0.5905511811023622,0.5144356955380578,0.5780839895013123,0.8543307086614172,0.8783902012248469,0.8451443569553806,0.847769028871391,0.8564085739282591,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.916010498687664,0.9133858267716536,0.9138232720909888,0.9144065325167688,0.2454068241469816,0.2821522309711285,0.1889763779527559,0.2493438320209973,0.2414698162729659,0.6561679790026247,0.6071741032370953,0.5953630796150481,0.5984251968503937,0.6142825896762906
TicTacToe,0.9133858267716536,0.899387576552931,0.8976377952755904,0.910761154855643,0.9052930883639544,0.9173228346456692,0.9076990376202976,0.894575678040245,0.9081364829396326,0.906933508311461,0.6430446194225722,0.5643044619422573,0.5905511811023622,0.5144356955380578,0.5780839895013123,0.8503937007874015,0.8661417322834645,0.8377077865266841,0.8490813648293963,0.8508311461067367,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.9033245844269464,0.8888888888888888,0.8972003499562554,0.8964712744240303,0.2454068241469816,0.2913385826771653,0.1977252843394575,0.2204724409448818,0.2387357830271216,0.6561679790026247,0.6259842519685038,0.5993000874890638,0.5984251968503937,0.6199693788276466
