,GANBLR++-LR,GANBLR++-MLP,GANBLR++-RF,GANBLR++-XGB,GANBLR++-AVG,GANBLR-LR,GANBLR-MLP,GANBLR-RF,GANBLR-XGB,GANBLR-AVG,CTGAN-LR,CTGAN-MLP,CTGAN-RF,CTGAN-XGB,CTGAN-AVG,CTABGAN-LR,CTABGAN-MLP,CTABGAN-RF,CTABGAN-XGB,CTABGAN-AVG,NB-LR,NB-MLP,NB-RF,NB-XGB,NB-AVG,RLIG-LR,RLIG-MLP,RLIG-RF,RLIG-AVG,GREAT-LR,GREAT-MLP,GREAT-RF,GREAT-XGB,GREAT-AVG,DIST_SAMPL-LR,DIST_SAMPL-MLP,DIST_SAMPL-RF,DIST_SAMPL-XGB,DIST_SAMPL-AVG
Rice,0.8451443569553806,0.863517060367454,0.8442694663167104,0.8398950131233596,0.8482064741907261,0.8595800524934383,0.8678915135608049,0.8407699037620296,0.8556430446194225,0.8559711286089238,0.4199475065616798,0.4260717410323709,0.5393700787401575,0.4015748031496063,0.4467410323709536,0.8858267716535432,0.8836395450568678,0.863517060367454,0.874015748031496,0.8767497812773404,0.5721784776902887,0.5699912510936133,0.5721784776902887,0.5721784776902887,0.5716316710411199,0.8762029746281715,0.8832020997375328,0.8888888888888888,0.8827646544181977,0.5708661417322834,0.5699912510936133,0.5157480314960631,0.5577427821522309,0.5535870516185476,0.4435695538057743,0.4243219597550307,0.4908136482939633,0.4304461942257218,0.4472878390201225
Car,0.8451443569553806,0.863517060367454,0.8442694663167104,0.8398950131233596,0.8482064741907261,0.8595800524934383,0.8678915135608049,0.8407699037620296,0.8556430446194225,0.8559711286089238,0.4199475065616798,0.4260717410323709,0.5393700787401575,0.4015748031496063,0.4467410323709536,0.884514435695538,0.8810148731408574,0.8626421697287839,0.8766404199475065,0.8762029746281715,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.8722659667541558,0.8731408573928259,0.879265091863517,0.8748906386701663,0.5708661417322834,0.5717410323709536,0.5148731408573929,0.5603674540682415,0.5544619422572178,0.4435695538057743,0.536745406824147,0.4816272965879265,0.4304461942257218,0.4730971128608924
Adult,0.8451443569553806,0.863517060367454,0.8442694663167104,0.8398950131233596,0.8482064741907261,0.8595800524934383,0.8678915135608049,0.8407699037620296,0.8556430446194225,0.8559711286089238,0.4199475065616798,0.4260717410323709,0.5393700787401575,0.4015748031496063,0.4467410323709536,0.8858267716535432,0.8849518810148731,0.8709536307961505,0.8910761154855643,0.8832020997375327,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.8814523184601925,0.8753280839895012,0.8731408573928259,0.8766404199475065,0.5708661417322834,0.5599300087489064,0.5122484689413823,0.5603674540682415,0.5508530183727034,0.4435695538057743,0.4833770778652668,0.4562554680664917,0.4304461942257218,0.4534120734908136
Chess,0.8451443569553806,0.863517060367454,0.8442694663167104,0.8398950131233596,0.8482064741907261,0.8595800524934383,0.8678915135608049,0.8407699037620296,0.8556430446194225,0.8559711286089238,0.4199475065616798,0.4260717410323709,0.5393700787401575,0.4015748031496063,0.4467410323709536,0.8858267716535432,0.884076990376203,0.8556430446194225,0.863517060367454,0.8722659667541558,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.8836395450568678,0.8818897637795277,0.8906386701662292,0.8853893263342081,0.5708661417322834,0.5660542432195975,0.5170603674540682,0.5577427821522309,0.552930883639545,0.4435695538057743,0.4890638670166229,0.4860017497812773,0.4304461942257218,0.462270341207349
TicTacToe,0.8451443569553806,0.863517060367454,0.8442694663167104,0.8398950131233596,0.8482064741907261,0.8595800524934383,0.8678915135608049,0.8407699037620296,0.8556430446194225,0.8559711286089238,0.4199475065616798,0.4260717410323709,0.5393700787401575,0.4015748031496063,0.4467410323709536,0.8858267716535432,0.8836395450568678,0.8530183727034121,0.8897637795275589,0.8780621172353454,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.878827646544182,0.8744531933508313,0.8779527559055117,0.8770778652668417,0.5708661417322834,0.5713035870516184,0.5131233595800525,0.5577427821522309,0.5532589676290464,0.4435695538057743,0.5192475940507436,0.4540682414698163,0.4304461942257218,0.461832895888014
letter_rocog,0.8451443569553806,0.863517060367454,0.8442694663167104,0.8398950131233596,0.8482064741907261,0.8595800524934383,0.8678915135608049,0.8407699037620296,0.8556430446194225,0.8559711286089238,0.4199475065616798,0.4260717410323709,0.5393700787401575,0.4015748031496063,0.4467410323709536,0.8713910761154856,0.8832020997375328,0.863517060367454,0.8753280839895013,0.8733595800524934,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.8902012248468941,0.8845144356955381,0.8797025371828521,0.8848060659084281,0.5708661417322834,0.5713035870516184,0.5148731408573929,0.5577427821522309,0.5536964129483815,0.4435695538057743,0.5161854768153981,0.4256342957130359,0.4304461942257218,0.4539588801399825
Magic,0.8451443569553806,0.863517060367454,0.8442694663167104,0.8398950131233596,0.8482064741907261,0.8595800524934383,0.8678915135608049,0.8407699037620296,0.8556430446194225,0.8559711286089238,0.4199475065616798,0.4260717410323709,0.5393700787401575,0.4015748031496063,0.4467410323709536,0.8713910761154856,0.8722659667541558,0.8556430446194225,0.8727034120734908,0.8680008748906386,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.8766404199475066,0.8700787401574802,0.8748906386701663,0.873869932925051,0.5708661417322834,0.5708661417322834,0.5131233595800525,0.5603674540682415,0.5538057742782153,0.4435695538057743,0.4558180227471566,0.4860017497812773,0.4304461942257218,0.4539588801399825
Nursery,0.8451443569553806,0.863517060367454,0.8442694663167104,0.8398950131233596,0.8482064741907261,0.8595800524934383,0.8678915135608049,0.8407699037620296,0.8556430446194225,0.8559711286089238,0.4199475065616798,0.4260717410323709,0.5393700787401575,0.4015748031496063,0.4467410323709536,0.884514435695538,0.884076990376203,0.8696412948381452,0.8674540682414699,0.876421697287839,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.8818897637795277,0.8897637795275589,0.8770778652668416,0.8829104695246427,0.5708661417322834,0.5546806649168854,0.5135608048993876,0.5577427821522309,0.5492125984251969,0.4435695538057743,0.4969378827646544,0.4466316710411198,0.4304461942257218,0.4543963254593176
'Room,0.8451443569553806,0.863517060367454,0.8442694663167104,0.8398950131233596,0.8482064741907261,0.8595800524934383,0.8678915135608049,0.8407699037620296,0.8556430446194225,0.8559711286089238,0.4199475065616798,0.4260717410323709,0.5393700787401575,0.4015748031496063,0.4467410323709536,0.884514435695538,0.8832020997375327,0.8604549431321086,0.8871391076115486,0.878827646544182,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.8757655293088366,0.8665791776027997,0.8880139982502188,0.8767862350539516,0.5708661417322834,0.5695538057742783,0.5135608048993876,0.5603674540682415,0.5535870516185477,0.4435695538057743,0.4807524059492563,0.5144356955380577,0.4304461942257218,0.4673009623797026
Occupancy',0.734375,0.6822916666666666,0.6614583333333334,0.6354166666666666,0.6783854166666666,0.7291666666666666,0.671875,0.6701388888888888,0.6510416666666666,0.6805555555555554,0.609375,0.6458333333333334,0.5694444444444445,0.5520833333333334,0.5941840277777778,0.6510416666666666,0.6475694444444445,0.5920138888888888,0.5885416666666666,0.6197916666666666,0.6666666666666666,0.6197916666666666,0.6753472222222222,0.6302083333333334,0.6480034722222222,0.6979166666666666,0.7326388888888888,0.734375,0.7216435185185186,0.3177083333333333,0.2482638888888889,0.296875,0.2864583333333333,0.2873263888888889,0.640625,0.6475694444444443,0.5659722222222222,0.5572916666666666,0.6028645833333334
'Maternal,0.8451443569553806,0.863517060367454,0.8442694663167104,0.8398950131233596,0.8482064741907261,0.8595800524934383,0.8678915135608049,0.8407699037620296,0.8556430446194225,0.8559711286089238,0.4199475065616798,0.4260717410323709,0.5393700787401575,0.4015748031496063,0.4467410323709536,0.8792650918635171,0.878827646544182,0.8565179352580928,0.8727034120734908,0.8718285214348206,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.8770778652668416,0.8727034120734908,0.8753280839895012,0.8750364537766112,0.5708661417322834,0.5717410323709536,0.5122484689413823,0.5603674540682415,0.5538057742782153,0.4435695538057743,0.4405074365704287,0.4667541557305337,0.4304461942257218,0.4453193350831146
Health',0.734375,0.671875,0.6614583333333334,0.6354166666666666,0.67578125,0.7291666666666666,0.6649305555555555,0.6805555555555555,0.6510416666666666,0.681423611111111,0.609375,0.6197916666666666,0.5798611111111112,0.5520833333333334,0.5902777777777778,0.6510416666666666,0.6475694444444445,0.6180555555555555,0.6197916666666666,0.6341145833333334,0.6666666666666666,0.6684027777777778,0.6666666666666666,0.6302083333333334,0.6579861111111112,0.6875,0.7708333333333334,0.748263888888889,0.7355324074074074,0.3177083333333333,0.236111111111111,0.2934027777777777,0.2864583333333333,0.2834201388888888,0.640625,0.642361111111111,0.5572916666666666,0.5572916666666666,0.599392361111111
Loan,0.8451443569553806,0.863517060367454,0.8442694663167104,0.8398950131233596,0.8482064741907261,0.8595800524934383,0.8678915135608049,0.8407699037620296,0.8556430446194225,0.8559711286089238,0.4199475065616798,0.4260717410323709,0.5393700787401575,0.4015748031496063,0.4467410323709536,0.8871391076115486,0.8762029746281715,0.8503937007874015,0.8674540682414699,0.8702974628171477,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.8989501312335957,0.8932633420822397,0.8902012248468942,0.89413823272091,0.5708661417322834,0.5704286964129484,0.5153105861767279,0.5603674540682415,0.5542432195975503,0.4435695538057743,0.4956255468066491,0.4510061242344707,0.4304461942257218,0.4551618547681539
Credit,0.8451443569553806,0.863517060367454,0.8442694663167104,0.8398950131233596,0.8482064741907261,0.8595800524934383,0.8678915135608049,0.8407699037620296,0.8556430446194225,0.8559711286089238,0.4199475065616798,0.4260717410323709,0.5393700787401575,0.4015748031496063,0.4467410323709536,0.8858267716535432,0.8836395450568678,0.878827646544182,0.8674540682414699,0.8789370078740157,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.8731408573928259,0.8744531933508312,0.8713910761154855,0.8729950422863809,0.5708661417322834,0.568241469816273,0.5161854768153981,0.5603674540682415,0.5539151356080491,0.4435695538057743,0.4956255468066491,0.4610673665791776,0.4304461942257218,0.4576771653543307
PokerHand,0.8451443569553806,0.863517060367454,0.8442694663167104,0.8398950131233596,0.8482064741907261,0.8595800524934383,0.8678915135608049,0.8407699037620296,0.8556430446194225,0.8559711286089238,0.4199475065616798,0.4260717410323709,0.5393700787401575,0.4015748031496063,0.4467410323709536,0.8700787401574802,0.8757655293088363,0.8547681539807525,0.8805774278215223,0.8702974628171479,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.8665791776027998,0.8674540682414698,0.8661417322834645,0.8667249927092447,0.5708661417322834,0.5721784776902887,0.5170603674540682,0.5603674540682415,0.5551181102362205,0.4435695538057743,0.583989501312336,0.4562554680664917,0.4304461942257218,0.4785651793525809
Connect-4,0.8451443569553806,0.863517060367454,0.8442694663167104,0.8398950131233596,0.8482064741907261,0.8595800524934383,0.8678915135608049,0.8407699037620296,0.8556430446194225,0.8559711286089238,0.4199475065616798,0.4260717410323709,0.5393700787401575,0.4015748031496063,0.4467410323709536,0.884514435695538,0.8740157480314962,0.8565179352580928,0.884514435695538,0.8748906386701663,0.5721784776902887,0.5730533683289588,0.5721784776902887,0.5721784776902887,0.5723972003499562,0.8775153105861767,0.8748906386701663,0.8766404199475065,0.8763487897346165,0.5708661417322834,0.5573053368328958,0.515748031496063,0.5603674540682415,0.551071741032371,0.4435695538057743,0.4413823272090988,0.4838145231846019,0.4304461942257218,0.4498031496062992
NSL-KDD,0.8451443569553806,0.863517060367454,0.8442694663167104,0.8398950131233596,0.8482064741907261,0.8595800524934383,0.8678915135608049,0.8407699037620296,0.8556430446194225,0.8559711286089238,0.4199475065616798,0.4260717410323709,0.5393700787401575,0.4015748031496063,0.4467410323709536,0.884514435695538,0.8827646544181977,0.8447069116360456,0.8648293963254593,0.8692038495188102,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.5721784776902887,0.8884514435695539,0.8827646544181977,0.8862642169728785,0.8858267716535432,0.5708661417322834,0.5717410323709536,0.5183727034120734,0.5577427821522309,0.5546806649168854,0.4435695538057743,0.4903762029746281,0.426509186351706,0.4304461942257218,0.4477252843394576
