,buying,maint,doors,persons,lug_boot,safety,target
1120,2,2,1,1,1,2,0
1000,2,0,1,0,2,2,2
1504,1,0,3,2,2,2,0
1202,2,1,0,1,1,0,1
353,3,1,1,0,2,0,2
550,0,0,0,1,2,2,2
954,2,3,3,1,2,1,2
1282,2,1,3,1,1,2,1
687,0,2,1,1,1,1,2
244,3,2,1,0,2,2,2
18,3,3,0,2,2,1,2
340,3,1,0,1,0,2,0
1275,2,1,3,0,0,1,2
1642,1,1,0,2,1,2,0
1312,1,3,0,1,0,2,0
809,0,1,1,2,0,0,0
997,2,0,0,2,0,2,0
154,3,0,1,2,2,2,2
267,3,2,1,2,0,1,2
286,3,2,2,1,0,2,0
1402,1,3,3,2,0,2,0
463,0,3,1,0,1,2,2
234,3,2,0,2,2,1,2
685,0,2,1,1,2,2,2
1332,1,3,1,1,2,1,2
780,0,1,0,2,0,1,2
878,2,3,0,1,1,0,0
987,2,0,0,1,0,1,2
1363,1,3,2,1,1,2,0
1540,1,2,1,0,2,2,2
276,3,2,2,0,0,1,2
746,0,2,3,1,0,0,0
916,2,3,1,2,0,2,0
1267,2,1,2,2,0,2,1
932,2,3,2,1,1,0,0
1662,1,1,1,1,0,1,2
1147,2,2,2,1,1,2,0
968,2,3,3,2,1,0,0
1371,1,3,2,2,1,1,2
1058,2,0,3,0,1,0,2
1043,2,0,2,1,0,0,0
1093,2,2,0,1,1,2,0
807,0,1,1,2,0,1,2
1251,2,1,2,1,2,1,2
1284,2,1,3,1,0,1,2
447,0,3,0,1,0,1,2
1541,1,2,1,0,2,0,2
1585,1,2,2,2,2,2,0
180,3,0,2,2,2,1,2
122,3,0,0,1,1,0,2
1107,2,2,1,0,2,1,2
70,3,3,2,1,0,2,2
1566,1,2,2,0,2,1,2
1457,1,0,1,2,0,0,3
1522,1,2,0,1,2,2,0
1692,1,1,2,2,2,1,2
551,0,0,0,1,2,0,0
437,0,3,0,0,1,0,2
335,3,1,0,1,2,0,0
1286,2,1,3,1,0,0,3
1278,2,1,3,1,2,1,2
401,3,1,2,2,1,0,0
1727,1,1,3,2,0,0,3
453,0,3,0,2,1,1,2
29,3,3,1,0,2,0,2
1266,2,1,2,2,0,1,2
214,3,0,3,2,0,2,2
937,2,3,2,2,2,2,2
1095,2,2,0,1,0,1,2
1235,2,1,1,2,2,0,1
270,3,2,2,0,2,1,2
1517,1,2,0,0,1,0,2
749,0,2,3,2,2,0,0
149,3,0,1,1,1,0,2
119,3,0,0,1,2,0,2
15,3,3,0,1,0,1,2
1440,1,0,1,1,2,1,2
1005,2,0,1,0,0,1,2
617,0,0,2,2,1,0,0
565,0,0,0,2,0,2,0
824,0,1,2,1,1,0,0
1581,1,2,2,1,0,1,2
1273,2,1,3,0,1,2,2
408,3,1,3,0,1,1,2
998,2,0,0,2,0,0,0
663,0,2,0,1,0,1,2
1365,1,3,2,1,0,1,2
1542,1,2,1,0,1,1,2
33,3,3,1,0,0,1,2
1190,2,1,0,0,2,0,2
1076,2,0,3,2,1,0,0
1398,1,3,3,2,1,1,2
1265,2,1,2,2,1,0,3
1723,1,1,3,2,1,2,1
1624,1,1,0,0,1,2,2
633,0,0,3,1,1,1,2
940,2,3,2,2,1,2,0
310,3,2,3,1,1,2,0
102,3,3,3,2,1,1,2
323,3,2,3,2,0,0,0
347,3,1,0,2,1,0,0
421,3,1,3,1,0,2,0
493,0,3,2,0,0,2,2
549,0,0,0,1,2,1,2
941,2,3,2,2,1,0,0
1607,1,2,3,1,1,0,3
1360,1,3,2,1,2,2,2
1714,1,1,3,1,1,2,1
1420,1,0,0,1,0,2,0
20,3,3,0,2,2,0,2
1099,2,2,0,2,2,2,2
881,2,3,0,1,0,0,0
1370,1,3,2,2,2,0,0
792,0,1,1,1,2,1,2
1638,1,1,0,2,2,1,2
1330,1,3,1,0,0,2,2
863,0,1,3,2,0,0,0
1247,2,1,2,0,1,0,2
1106,2,2,0,2,0,0,3
1572,1,2,2,0,0,1,2
1082,2,2,0,0,2,0,2
330,3,1,0,0,0,1,2
1195,2,1,0,0,0,2,2
822,0,1,2,1,1,1,2
1393,1,3,3,1,0,2,0
1586,1,2,2,2,2,0,1
661,0,2,0,1,1,2,2
131,3,0,0,2,1,0,2
1132,2,2,1,2,0,2,0
782,0,1,0,2,0,0,0
991,2,0,0,2,2,2,2
207,3,0,3,2,2,1,2
1067,2,0,3,1,1,0,0
1679,1,1,2,0,1,0,2
1394,1,3,3,1,0,0,0
1361,1,3,2,1,2,0,0
664,0,2,0,1,0,2,0
1322,1,3,0,2,0,0,0
1181,2,2,3,2,2,0,0
433,0,3,0,0,2,2,2
488,0,3,2,0,2,0,2
382,3,1,2,0,1,2,2
894,2,3,1,0,1,1,2
678,0,2,1,0,1,1,2
699,0,2,1,2,0,1,2
355,3,1,1,0,1,2,2
1353,1,3,2,0,1,1,2
1567,1,2,2,0,2,2,2
1373,1,3,2,2,1,0,0
566,0,0,0,2,0,0,0
1644,1,1,0,2,0,1,2
155,3,0,1,2,2,0,2
1169,2,2,3,0,0,0,2
338,3,1,0,1,1,0,0
1165,2,2,3,0,1,2,2
1155,2,2,2,2,1,1,2
94,3,3,3,1,1,2,2
1049,2,0,2,2,1,0,0
1366,1,3,2,1,0,2,0
1614,1,2,3,2,1,1,2
1124,2,2,1,1,0,0,3
345,3,1,0,2,1,1,2
688,0,2,1,1,1,2,2
1596,1,2,3,0,1,1,2
635,0,0,3,1,1,0,0
715,0,2,2,1,1,2,0
1535,1,2,0,2,1,0,1
1436,1,0,1,0,1,0,2
1640,1,1,0,2,2,0,2
1452,1,0,1,2,1,1,2
1,3,3,0,0,2,2,2
1336,1,3,1,1,1,2,2
1176,2,2,3,1,0,1,2
1223,2,1,1,0,0,0,2
1060,2,0,3,0,0,2,2
274,3,2,2,0,1,2,2
200,3,0,3,1,2,0,2
256,3,2,1,1,1,2,2
969,2,3,3,2,0,1,2
73,3,3,2,2,2,2,2
774,0,1,0,2,2,1,2
721,0,2,2,2,2,2,2
318,3,2,3,2,1,1,2
757,0,1,0,0,2,2,2
1293,2,1,3,2,0,1,2
691,0,2,1,1,0,2,0
857,0,1,3,2,2,0,0
179,3,0,2,1,0,0,2
292,3,2,2,2,1,2,0
1154,2,2,2,2,2,0,0
1239,2,1,1,2,0,1,2
783,0,1,1,0,2,1,2
1580,1,2,2,1,1,0,3
594,0,0,2,0,2,1,2
541,0,0,0,0,2,2,2
69,3,3,2,1,0,1,2
134,3,0,0,2,0,0,2
1156,2,2,2,2,1,2,0
182,3,0,2,2,2,0,2
99,3,3,3,2,2,1,2
1687,1,1,2,1,1,2,1
1341,1,3,1,2,2,1,2
487,0,3,2,0,2,2,2
459,0,3,1,0,2,1,2
275,3,2,2,0,1,0,2
1310,1,3,0,1,1,0,0
1253,2,1,2,1,2,0,1
426,3,1,3,2,1,1,2
770,0,1,0,1,1,0,0
115,3,0,0,0,0,2,2
920,2,3,2,0,2,0,2
375,3,1,1,2,0,1,2
518,0,3,3,0,1,0,2
1694,1,1,2,2,2,0,1
1521,1,2,0,1,2,1,2
1710,1,1,3,1,2,1,2
1059,2,0,3,0,0,1,2
800,0,1,1,1,0,0,0
915,2,3,1,2,0,1,2
754,0,2,3,2,0,2,0
1046,2,0,2,2,2,0,0
1722,1,1,3,2,1,1,2
1126,2,2,1,2,2,2,0
239,3,2,0,2,1,0,0
955,2,3,3,1,2,2,2
74,3,3,2,2,2,0,2
649,0,2,0,0,2,2,2
1292,2,1,3,2,1,0,3
264,3,2,1,2,1,1,2
1623,1,1,0,0,1,1,2
912,2,3,1,2,1,1,2
584,0,0,1,1,0,0,0
1299,1,3,0,0,1,1,2
1555,1,2,1,1,0,2,1
1628,1,1,0,0,0,0,2
1512,1,2,0,0,2,1,2
1502,1,0,3,1,0,0,3
1565,1,2,1,2,0,0,3
475,0,3,1,1,0,2,2
1103,2,2,0,2,1,0,0
875,2,3,0,1,2,0,0
767,0,1,0,1,2,0,0
1246,2,1,2,0,1,2,2
1666,1,1,1,2,2,2,0
557,0,0,0,1,0,0,0
1605,1,2,3,1,1,1,2
1335,1,3,1,1,1,1,2
495,0,3,2,1,2,1,2
1603,1,2,3,1,2,2,0
778,0,1,0,2,1,2,2
1492,1,0,3,0,0,2,2
1092,2,2,0,1,1,1,2
660,0,2,0,1,1,1,2
1537,1,2,0,2,0,2,1
702,0,2,2,0,2,1,2
1713,1,1,3,1,1,1,2
1560,1,2,1,2,1,1,2
1086,2,2,0,0,0,1,2
1324,1,3,1,0,2,2,2
394,3,1,2,1,0,2,0
892,2,3,1,0,2,2,2
427,3,1,3,2,1,2,0
1298,1,3,0,0,2,0,2
135,3,0,1,0,2,1,2
1716,1,1,3,1,0,1,2
1305,1,3,0,1,2,1,2
1588,1,2,2,2,1,2,1
1382,1,3,3,0,1,0,2
1637,1,1,0,1,0,0,3
1529,1,2,0,1,0,0,3
713,0,2,2,1,2,0,0
813,0,1,2,0,1,1,2
1539,1,2,1,0,2,1,2
296,3,2,2,2,0,0,0
1358,1,3,2,0,0,0,2
226,3,2,0,1,2,2,2
982,2,0,0,1,2,2,2
243,3,2,1,0,2,1,2
1508,1,0,3,2,1,0,3
241,3,2,0,2,0,2,0
225,3,2,0,1,2,1,2
805,0,1,1,2,1,2,0
309,3,2,3,1,1,1,2
1019,2,0,1,2,2,0,0
1505,1,0,3,2,2,0,0
742,0,2,3,1,1,2,0
434,0,3,0,0,2,0,2
205,3,0,3,1,0,2,2
109,3,0,0,0,2,2,2
1217,2,1,1,0,2,0,2
167,3,0,2,0,1,0,2
395,3,1,2,1,0,0,0
1272,2,1,3,0,1,1,2
257,3,2,1,1,1,0,0
597,0,0,2,0,1,1,2
1442,1,0,1,1,2,0,0
802,0,1,1,2,2,2,2
1339,1,3,1,1,0,2,0
186,3,0,2,2,0,1,2
450,0,3,0,2,2,1,2
1465,1,0,2,0,0,2,2
925,2,3,2,0,0,2,2
690,0,2,1,1,0,1,2
52,3,3,1,2,0,2,2
272,3,2,2,0,2,0,2
616,0,0,2,2,1,2,0
197,3,0,3,0,0,0,2
24,3,3,0,2,0,1,2
1303,1,3,0,0,0,2,2
188,3,0,2,2,0,0,2
623,0,0,3,0,2,0,2
726,0,2,2,2,0,1,2
798,0,1,1,1,0,1,2
129,3,0,0,2,1,1,2
111,3,0,0,0,1,1,2
913,2,3,1,2,1,2,0
668,0,2,0,2,2,0,2
221,3,2,0,0,1,0,2
334,3,1,0,1,2,2,2
1309,1,3,0,1,1,2,2
909,2,3,1,2,2,1,2
609,0,0,2,1,0,1,2
803,0,1,1,2,2,0,0
60,3,3,2,0,0,1,2
961,2,3,3,1,0,2,0
253,3,2,1,1,2,2,2
204,3,0,3,1,0,1,2
1098,2,2,0,2,2,1,2
548,0,0,0,0,0,0,2
1338,1,3,1,1,0,1,2
835,0,1,2,2,0,2,0
838,0,1,3,0,2,2,2
819,0,1,2,1,2,1,2
1660,1,1,1,1,1,2,0
177,3,0,2,1,0,1,2
348,3,1,0,2,0,1,2
311,3,2,3,1,1,0,0
282,3,2,2,1,1,1,2
325,3,1,0,0,2,2,2
914,2,3,1,2,1,0,0
730,0,2,3,0,2,2,2
478,0,3,1,2,2,2,2
949,2,3,3,0,1,2,2
820,0,1,2,1,2,2,2
1020,2,0,1,2,1,1,2
1478,1,0,2,2,2,0,0
1167,2,2,3,0,0,1,2
1211,2,1,0,2,1,0,1
753,0,2,3,2,0,1,2
1701,1,1,3,0,2,1,2
1053,2,0,3,0,2,1,2
411,3,1,3,0,0,1,2
1615,1,2,3,2,1,2,1
619,0,0,2,2,0,2,0
1151,2,2,2,1,0,0,3
369,3,1,1,2,2,1,2
171,3,0,2,1,2,1,2
1384,1,3,3,0,0,2,2
885,2,3,0,2,1,1,2
76,3,3,2,2,1,2,2
680,0,2,1,0,1,0,2
659,0,2,0,1,2,0,0
1632,1,1,0,1,1,1,2
8,3,3,0,0,0,0,2
316,3,2,3,2,2,2,2
543,0,0,0,0,1,1,2
1711,1,1,3,1,2,2,0
592,0,0,1,2,0,2,0
419,3,1,3,1,1,0,0
1564,1,2,1,2,0,2,1
381,3,1,2,0,1,1,2
923,2,3,2,0,1,0,2
629,0,0,3,0,0,0,2
1458,1,0,2,0,2,1,2
612,0,0,2,2,2,1,2
1718,1,1,3,1,0,0,3
1622,1,1,0,0,2,0,2
1674,1,1,2,0,2,1,2
1027,2,0,2,0,2,2,2
601,0,0,2,0,0,2,2
897,2,3,1,0,0,1,2
390,3,1,2,1,1,1,2
1702,1,1,3,0,2,2,2
833,0,1,2,2,1,0,0
608,0,0,2,1,1,0,0
505,0,3,2,2,2,2,2
1187,2,2,3,2,0,0,3
1684,1,1,2,1,2,2,0
656,0,2,0,0,0,0,2
137,3,0,1,0,2,0,2
890,2,3,0,2,0,0,0
1435,1,0,1,0,1,2,2
203,3,0,3,1,1,0,2
1119,2,2,1,1,1,1,2
930,2,3,2,1,1,1,2
1681,1,1,2,0,0,2,2
220,3,2,0,0,1,2,2
1443,1,0,1,1,1,1,2
168,3,0,2,0,0,1,2
1427,1,0,0,2,1,0,0
681,0,2,1,0,0,1,2
326,3,1,0,0,2,0,2
886,2,3,0,2,1,2,2
367,3,1,1,1,0,2,0
1229,2,1,1,1,1,0,1
27,3,3,1,0,2,1,2
364,3,1,1,1,1,2,2
965,2,3,3,2,2,0,0
1245,2,1,2,0,1,1,2
801,0,1,1,2,2,1,2
106,3,3,3,2,0,2,2
830,0,1,2,2,2,0,0
101,3,3,3,2,2,0,2
758,0,1,0,0,2,0,2
1648,1,1,1,0,2,2,2
317,3,2,3,2,2,0,0
1477,1,0,2,2,2,2,0
1598,1,2,3,0,1,0,2
277,3,2,2,0,0,2,2
1595,1,2,3,0,2,0,2
1475,1,0,2,1,0,0,3
500,0,3,2,1,1,0,2
1461,1,0,2,0,1,1,2
727,0,2,2,2,0,2,0
1035,2,0,2,1,2,1,2
160,3,0,1,2,0,2,2
449,0,3,0,1,0,0,2
768,0,1,0,1,1,1,2
636,0,0,3,1,0,1,2
1592,1,2,2,2,0,0,3
1563,1,2,1,2,0,1,2
734,0,2,3,0,1,0,2
1383,1,3,3,0,0,1,2
1698,1,1,2,2,0,1,2
828,0,1,2,2,2,1,2
165,3,0,2,0,1,1,2
477,0,3,1,2,2,1,2
676,0,2,1,0,2,2,2
1682,1,1,2,0,0,0,2
1439,1,0,1,0,0,0,2
383,3,1,2,0,1,0,2
1726,1,1,3,2,0,2,1
1695,1,1,2,2,1,1,2
278,3,2,2,0,0,0,2
849,0,1,3,1,1,1,2
105,3,3,3,2,0,1,2
1039,2,0,2,1,1,2,0
1388,1,3,3,1,2,0,0
410,3,1,3,0,1,0,2
53,3,3,1,2,0,0,2
1354,1,3,2,0,1,2,2
795,0,1,1,1,1,1,2
1631,1,1,0,1,2,0,1
741,0,2,3,1,1,1,2
514,0,3,3,0,2,2,2
1212,2,1,0,2,0,1,2
196,3,0,3,0,0,2,2
380,3,1,2,0,2,0,2
1725,1,1,3,2,0,1,2
1037,2,0,2,1,2,0,0
91,3,3,3,1,2,2,2
701,0,2,1,2,0,0,0
1357,1,3,2,0,0,2,2
288,3,2,2,2,2,1,2
572,0,0,1,0,1,0,2
1206,2,1,0,2,2,1,2
1573,1,2,2,0,0,2,2
573,0,0,1,0,0,1,2
80,3,3,2,2,0,0,2
1377,1,3,3,0,2,1,2
599,0,0,2,0,1,0,2
1483,1,0,2,2,0,2,0
1708,1,1,3,0,0,2,2
921,2,3,2,0,1,1,2
1415,1,0,0,1,2,0,0
284,3,2,2,1,1,0,0
696,0,2,1,2,1,1,2
1532,1,2,0,2,2,0,2
1227,2,1,1,1,1,1,2
1254,2,1,2,1,1,1,2
962,2,3,3,1,0,0,0
1234,2,1,1,2,2,2,0
999,2,0,1,0,2,1,2
732,0,2,3,0,1,1,2
368,3,1,1,1,0,0,0
919,2,3,2,0,2,2,2
1030,2,0,2,0,1,2,2
888,2,3,0,2,0,1,2
840,0,1,3,0,1,1,2
1240,2,1,1,2,0,2,1
372,3,1,1,2,1,1,2
1619,1,2,3,2,0,0,3
737,0,2,3,0,0,0,2
806,0,1,1,2,1,0,0
151,3,0,1,1,0,2,2
993,2,0,0,2,1,1,2
972,2,0,0,0,2,1,2
25,3,3,0,2,0,2,2
1002,2,0,1,0,1,1,2
1088,2,2,0,0,0,0,2
420,3,1,3,1,0,1,2
1510,1,0,3,2,0,2,0
1600,1,2,3,0,0,2,2
147,3,0,1,1,1,1,2
512,0,3,2,2,0,0,2
490,0,3,2,0,1,2,2
140,3,0,1,0,1,0,2
124,3,0,0,1,0,2,2
224,3,2,0,0,0,0,2
590,0,0,1,2,1,0,0
130,3,0,0,2,1,2,2
418,3,1,3,1,1,2,0
1073,2,0,3,2,2,0,0
536,0,3,3,2,1,0,2
544,0,0,0,0,1,2,2
1362,1,3,2,1,1,1,2
600,0,0,2,0,0,1,2
861,0,1,3,2,0,1,2
1389,1,3,3,1,1,1,2
1285,2,1,3,1,0,2,1
1040,2,0,2,1,1,0,0
624,0,0,3,0,1,1,2
1490,1,0,3,0,1,0,2
352,3,1,1,0,2,2,2
283,3,2,2,1,1,2,0
1054,2,0,3,0,2,2,2
707,0,2,2,0,1,0,2
1599,1,2,3,0,0,1,2
466,0,3,1,0,0,2,2
622,0,0,3,0,2,2,2
59,3,3,2,0,1,0,2
829,0,1,2,2,2,2,2
1094,2,2,0,1,1,0,0
454,0,3,0,2,1,2,2
530,0,3,3,1,0,0,2
1656,1,1,1,1,2,1,2
631,0,0,3,1,2,2,2
1489,1,0,3,0,1,2,2
3,3,3,0,0,1,1,2
876,2,3,0,1,1,1,2
1661,1,1,1,1,1,0,1
1576,1,2,2,1,2,2,0
472,0,3,1,1,1,2,2
1376,1,3,2,2,0,0,0
712,0,2,2,1,2,2,2
319,3,2,3,2,1,2,0
1269,2,1,3,0,2,1,2
693,0,2,1,2,2,1,2
1321,1,3,0,2,0,2,0
534,0,3,3,2,1,1,2
259,3,2,1,1,0,2,0
946,2,3,3,0,2,2,2
648,0,2,0,0,2,1,2
1569,1,2,2,0,1,1,2
504,0,3,2,2,2,1,2
971,2,3,3,2,0,0,0
1476,1,0,2,2,2,1,2
808,0,1,1,2,0,2,0
1013,2,0,1,1,1,0,0
883,2,3,0,2,2,2,2
1482,1,0,2,2,0,1,2
1122,2,2,1,1,0,1,2
935,2,3,2,1,0,0,0
1491,1,0,3,0,0,1,2
1494,1,0,3,1,2,1,2
733,0,2,3,0,1,2,2
1036,2,0,2,1,2,2,2
1548,1,2,1,1,2,1,2
51,3,3,1,2,0,1,2
127,3,0,0,2,2,2,2
1417,1,0,0,1,1,2,0
1021,2,0,1,2,1,2,0
1070,2,0,3,1,0,0,0
728,0,2,2,2,0,0,0
35,3,3,1,0,0,0,2
1715,1,1,3,1,1,0,3
39,3,3,1,1,1,1,2
963,2,3,3,2,2,1,2
1084,2,2,0,0,1,2,2
194,3,0,3,0,1,0,2
647,0,0,3,2,0,0,0
163,3,0,2,0,2,2,2
1453,1,0,1,2,1,2,0
697,0,2,1,2,1,2,0
262,3,2,1,2,2,2,2
1128,2,2,1,2,1,1,2
853,0,1,3,1,0,2,0
966,2,3,3,2,1,1,2
1271,2,1,3,0,2,0,2
386,3,1,2,0,0,0,2
65,3,3,2,1,2,0,2
1707,1,1,3,0,0,1,2
950,2,3,3,0,1,0,2
810,0,1,2,0,2,1,2
246,3,2,1,0,1,1,2
1016,2,0,1,1,0,0,0
405,3,1,3,0,2,1,2
1287,2,1,3,2,2,1,2
142,3,0,1,0,0,2,2
1200,2,1,0,1,1,1,2
222,3,2,0,0,0,1,2
1591,1,2,2,2,0,2,1
1524,1,2,0,1,1,1,2
604,0,0,2,1,2,2,2
402,3,1,2,2,0,1,2
1158,2,2,2,2,0,1,2
865,2,3,0,0,2,2,2
388,3,1,2,1,2,2,2
831,0,1,2,2,1,1,2
1185,2,2,3,2,0,1,2
14,3,3,0,1,1,0,2
293,3,2,2,2,1,0,0
1503,1,0,3,2,2,1,2
208,3,0,3,2,2,2,2
1100,2,2,0,2,2,0,2
13,3,3,0,1,1,2,2
429,3,1,3,2,0,1,2
1690,1,1,2,1,0,2,1
240,3,2,0,2,0,1,2
1199,2,1,0,1,2,0,1
1010,2,0,1,1,2,0,0
555,0,0,0,1,0,1,2
522,0,3,3,1,2,1,2
1221,2,1,1,0,0,1,2
1496,1,0,3,1,2,0,0
96,3,3,3,1,0,1,2
1017,2,0,1,2,2,1,2
1577,1,2,2,1,2,0,1
361,3,1,1,1,2,2,2
1023,2,0,1,2,0,1,2
626,0,0,3,0,1,0,2
1047,2,0,2,2,1,1,2
415,3,1,3,1,2,2,2
294,3,2,2,2,0,1,2
1331,1,3,1,0,0,0,2
21,3,3,0,2,1,1,2
743,0,2,3,1,1,0,0
717,0,2,2,1,0,1,2
1351,1,3,2,0,2,2,2
556,0,0,0,1,0,2,0
49,3,3,1,2,1,2,2
1431,1,0,1,0,2,1,2
632,0,0,3,1,2,0,0
641,0,0,3,2,2,0,0
723,0,2,2,2,1,1,2
669,0,2,0,2,1,1,2
567,0,0,1,0,2,1,2
439,0,3,0,0,0,2,2
1083,2,2,0,0,1,1,2
1538,1,2,0,2,0,0,3
714,0,2,2,1,1,1,2
1125,2,2,1,2,2,1,2
1241,2,1,1,2,0,0,3
877,2,3,0,1,1,2,2
1148,2,2,2,1,1,0,3
674,0,2,0,2,0,0,0
761,0,1,0,0,1,0,2
1111,2,2,1,0,1,2,2
161,3,0,1,2,0,0,2
844,0,1,3,0,0,2,2
1050,2,0,2,2,0,1,2
625,0,0,3,0,1,2,2
125,3,0,0,1,0,0,2
975,2,0,0,0,1,1,2
671,0,2,0,2,1,0,0
1444,1,0,1,1,1,2,0
1372,1,3,2,2,1,2,0
1409,1,0,0,0,1,0,2
1719,1,1,3,2,2,1,2
725,0,2,2,2,1,0,0
227,3,2,0,1,2,0,0
470,0,3,1,1,2,0,2
1516,1,2,0,0,1,2,2
305,3,2,3,0,0,0,2
639,0,0,3,2,2,1,2
209,3,0,3,2,2,0,2
884,2,3,0,2,2,0,2
799,0,1,1,1,0,2,0
797,0,1,1,1,1,0,0
1345,1,3,1,2,1,2,0
403,3,1,2,2,0,2,0
1189,2,1,0,0,2,2,2
448,0,3,0,1,0,2,2
1045,2,0,2,2,2,2,2
481,0,3,1,2,1,2,2
855,0,1,3,2,2,1,2
1454,1,0,1,2,1,0,3
457,0,3,0,2,0,2,2
718,0,2,2,1,0,2,0
