,buying,maint,doors,persons,lug_boot,safety,target
1379,1,3,3,0,2,0,2
1249,2,1,2,0,0,2,2
1041,2,0,2,1,0,1,2
771,0,1,0,1,0,1,2
218,3,2,0,0,2,0,2
705,0,2,2,0,1,1,2
1256,2,1,2,1,1,0,3
298,3,2,3,0,2,2,2
1556,1,2,1,1,0,0,3
1208,2,1,0,2,2,0,2
858,0,1,3,2,1,1,2
279,3,2,2,1,2,1,2
1191,2,1,0,0,1,1,2
1355,1,3,2,0,1,0,2
1097,2,2,0,1,0,0,3
299,3,2,3,0,2,0,2
192,3,0,3,0,1,1,2
485,0,3,1,2,0,0,2
759,0,1,0,0,1,1,2
934,2,3,2,1,0,2,0
917,2,3,1,2,0,0,0
1025,2,0,1,2,0,0,0
596,0,0,2,0,2,0,2
564,0,0,0,2,0,1,2
1236,2,1,1,2,1,1,2
984,2,0,0,1,1,1,2
804,0,1,1,2,1,1,2
430,3,1,3,2,0,2,0
471,0,3,1,1,1,1,2
1584,1,2,2,2,2,1,2
1133,2,2,1,2,0,0,3
1391,1,3,3,1,1,0,0
562,0,0,0,2,1,2,2
199,3,0,3,1,2,2,2
515,0,3,3,0,2,0,2
981,2,0,0,1,2,1,2
561,0,0,0,2,1,1,2
193,3,0,3,0,1,2,2
1313,1,3,0,1,0,0,0
1546,1,2,1,0,0,2,2
81,3,3,3,0,2,1,2
1203,2,1,0,1,0,1,2
148,3,0,1,1,1,2,2
175,3,0,2,1,1,2,2
1250,2,1,2,0,0,0,2
563,0,0,0,2,1,0,0
441,0,3,0,1,2,1,2
236,3,2,0,2,2,0,2
568,0,0,1,0,2,2,2
959,2,3,3,1,1,0,0
1627,1,1,0,0,0,2,2
308,3,2,3,1,2,0,0
384,3,1,2,0,0,1,2
1213,2,1,0,2,0,2,1
502,0,3,2,1,0,2,2
356,3,1,1,0,1,0,2
1608,1,2,3,1,0,1,2
1051,2,0,2,2,0,2,0
1680,1,1,2,0,0,1,2
399,3,1,2,2,1,1,2
995,2,0,0,2,1,0,0
775,0,1,0,2,2,2,2
1405,1,0,0,0,2,2,2
1507,1,0,3,2,1,2,0
789,0,1,1,0,0,1,2
1669,1,1,1,2,1,2,1
17,3,3,0,1,0,0,2
1418,1,0,0,1,1,0,0
1445,1,0,1,1,1,0,0
333,3,1,0,1,2,1,2
793,0,1,1,1,2,2,2
1183,2,2,3,2,1,2,0
651,0,2,0,0,1,1,2
992,2,0,0,2,2,0,2
511,0,3,2,2,0,2,2
126,3,0,0,2,2,1,2
228,3,2,0,1,1,1,2
538,0,3,3,2,0,2,2
344,3,1,0,2,2,0,2
580,0,0,1,1,1,2,2
1323,1,3,1,0,2,1,2
47,3,3,1,2,2,0,2
1057,2,0,3,0,1,2,2
994,2,0,0,2,1,2,2
156,3,0,1,2,1,1,2
6,3,3,0,0,0,1,2
128,3,0,0,2,2,0,2
525,0,3,3,1,1,1,2
297,3,2,3,0,2,1,2
195,3,0,3,0,0,1,2
952,2,3,3,0,0,2,2
123,3,0,0,1,0,1,2
92,3,3,3,1,2,0,2
1700,1,1,2,2,0,0,3
110,3,0,0,0,2,0,2
1177,2,2,3,1,0,2,0
1533,1,2,0,2,1,1,2
425,3,1,3,2,2,0,0
370,3,1,1,2,2,2,2
1390,1,3,3,1,1,2,0
1207,2,1,0,2,2,2,2
1135,2,2,2,0,2,2,2
786,0,1,1,0,1,1,2
1232,2,1,1,1,0,0,3
1544,1,2,1,0,1,0,2
269,3,2,1,2,0,0,0
842,0,1,3,0,1,0,2
735,0,2,3,0,0,1,2
181,3,0,2,2,2,2,2
1172,2,2,3,1,2,0,0
112,3,0,0,0,1,2,2
779,0,1,0,2,1,0,0
328,3,1,0,0,1,2,2
254,3,2,1,1,2,0,0
755,0,2,3,2,0,0,0
1225,2,1,1,1,2,2,0
1340,1,3,1,1,0,0,0
670,0,2,0,2,1,2,2
255,3,2,1,1,1,1,2
956,2,3,3,1,2,0,0
58,3,3,2,0,1,2,2
666,0,2,0,2,2,1,2
1205,2,1,0,1,0,0,3
785,0,1,1,0,2,0,2
351,3,1,1,0,2,1,2
366,3,1,1,1,0,1,2
358,3,1,1,0,0,2,2
23,3,3,0,2,1,0,2
1697,1,1,2,2,1,0,3
339,3,1,0,1,0,1,2
474,0,3,1,1,0,1,2
342,3,1,0,2,2,1,2
720,0,2,2,2,2,1,2
1534,1,2,0,2,1,2,0
1515,1,2,0,0,1,1,2
540,0,0,0,0,2,1,2
232,3,2,0,1,0,2,0
773,0,1,0,1,0,0,0
250,3,2,1,0,0,2,2
446,0,3,0,1,1,0,2
1009,2,0,1,1,2,2,2
910,2,3,1,2,2,2,2
673,0,2,0,2,0,2,0
1134,2,2,2,0,2,1,2
365,3,1,1,1,1,0,0
432,0,3,0,0,2,1,2
1543,1,2,1,0,1,2,2
1064,2,0,3,1,2,0,0
851,0,1,3,1,1,0,0
1645,1,1,0,2,0,2,1
442,0,3,0,1,2,2,2
621,0,0,3,0,2,1,2
174,3,0,2,1,1,1,2
462,0,3,1,0,1,1,2
1261,2,1,2,2,2,2,0
1380,1,3,3,0,1,1,2
852,0,1,3,1,0,1,2
263,3,2,1,2,2,0,0
788,0,1,1,0,1,0,2
1652,1,1,1,0,1,0,2
285,3,2,2,1,0,1,2
772,0,1,0,1,0,2,0
1038,2,0,2,1,1,1,2
867,2,3,0,0,1,1,2
1460,1,0,2,0,2,0,2
1506,1,0,3,2,1,1,2
507,0,3,2,2,1,1,2
1294,2,1,3,2,0,2,1
953,2,3,3,0,0,0,2
1109,2,2,1,0,2,0,2
1671,1,1,1,2,0,1,2
1611,1,2,3,2,2,1,2
642,0,0,3,2,1,1,2
37,3,3,1,1,2,2,2
1326,1,3,1,0,1,1,2
56,3,3,2,0,2,0,2
178,3,0,2,1,0,2,2
814,0,1,2,0,1,2,2
501,0,3,2,1,0,1,2
640,0,0,3,2,2,2,2
1222,2,1,1,0,0,2,2
19,3,3,0,2,2,2,2
428,3,1,3,2,1,0,0
1138,2,2,2,0,1,2,2
667,0,2,0,2,2,2,2
1514,1,2,0,0,2,0,2
337,3,1,0,1,1,2,2
988,2,0,0,1,0,2,0
533,0,3,3,2,2,0,2
1319,1,3,0,2,1,0,0
1268,2,1,2,2,0,0,3
1280,2,1,3,1,2,0,1
1554,1,2,1,1,0,1,2
265,3,2,1,2,1,2,0
1344,1,3,1,2,1,1,2
5,3,3,0,0,1,0,2
55,3,3,2,0,2,2,2
1198,2,1,0,1,2,2,0
675,0,2,1,0,2,1,2
1618,1,2,3,2,0,2,1
404,3,1,2,2,0,0,0
887,2,3,0,2,1,0,0
628,0,0,3,0,0,2,2
43,3,3,1,1,0,2,2
506,0,3,2,2,2,0,2
704,0,2,2,0,2,0,2
1536,1,2,0,2,0,1,2
100,3,3,3,2,2,2,2
586,0,0,1,2,2,2,2
716,0,2,2,1,1,0,0
1416,1,0,0,1,1,1,2
12,3,3,0,1,1,1,2
162,3,0,2,0,2,1,2
44,3,3,1,1,0,0,2
229,3,2,0,1,1,2,2
703,0,2,2,0,2,2,2
1551,1,2,1,1,1,1,2
213,3,0,3,2,0,1,2
891,2,3,1,0,2,1,2
1146,2,2,2,1,1,1,2
1131,2,2,1,2,0,1,2
708,0,2,2,0,0,1,2
486,0,3,2,0,2,1,2
1387,1,3,3,1,2,2,2
324,3,1,0,0,2,1,2
349,3,1,0,2,0,2,0
1166,2,2,3,0,1,0,2
1194,2,1,0,0,0,1,2
173,3,0,2,1,2,0,2
1559,1,2,1,2,2,0,1
482,0,3,1,2,1,0,2
827,0,1,2,1,0,0,0
170,3,0,2,0,0,0,2
1116,2,2,1,1,2,1,2
700,0,2,1,2,0,2,0
652,0,2,0,0,1,2,2
407,3,1,3,0,2,0,2
45,3,3,1,2,2,1,2
1579,1,2,2,1,1,2,1
377,3,1,1,2,0,0,0
554,0,0,0,1,1,0,0
1089,2,2,0,1,2,1,2
1276,2,1,3,0,0,2,2
1480,1,0,2,2,1,2,0
141,3,0,1,0,0,1,2
63,3,3,2,1,2,1,2
313,3,2,3,1,0,2,0
417,3,1,3,1,1,1,2
583,0,0,1,1,0,2,0
258,3,2,1,1,0,1,2
185,3,0,2,2,1,0,2
117,3,0,0,1,2,1,2
769,0,1,0,1,1,2,2
1705,1,1,3,0,1,2,2
1314,1,3,0,2,2,1,2
766,0,1,0,1,2,2,2
1274,2,1,3,0,1,0,2
346,3,1,0,2,1,2,2
1651,1,1,1,0,1,2,2
233,3,2,0,1,0,0,0
385,3,1,2,0,0,2,2
42,3,3,1,1,0,1,2
818,0,1,2,0,0,0,2
643,0,0,3,2,1,2,0
1670,1,1,1,2,1,0,3
88,3,3,3,0,0,2,2
1007,2,0,1,0,0,0,2
1649,1,1,1,0,2,0,2
1557,1,2,1,2,2,1,2
360,3,1,1,1,2,1,2
627,0,0,3,0,0,1,2
1263,2,1,2,2,1,1,2
553,0,0,0,1,1,2,2
873,2,3,0,1,2,1,2
249,3,2,1,0,0,1,2
686,0,2,1,1,2,0,0
412,3,1,3,0,0,2,2
1342,1,3,1,2,2,2,2
1349,1,3,1,2,0,0,0
499,0,3,2,1,1,2,2
371,3,1,1,2,2,0,0
1230,2,1,1,1,0,1,2
252,3,2,1,1,2,1,2
811,0,1,2,0,2,2,2
899,2,3,1,0,0,0,2
306,3,2,3,1,2,1,2
1179,2,2,3,2,2,1,2
706,0,2,2,0,1,2,2
379,3,1,2,0,2,2,2
300,3,2,3,0,1,1,2
1386,1,3,3,1,2,1,2
862,0,1,3,2,0,2,0
146,3,0,1,1,2,0,2
1204,2,1,0,1,0,2,1
157,3,0,1,2,1,2,2
116,3,0,0,0,0,0,2
1210,2,1,0,2,1,2,0
1243,2,1,2,0,2,2,2
219,3,2,0,0,1,1,2
589,0,0,1,2,1,2,0
498,0,3,2,1,1,1,2
1709,1,1,3,0,0,0,2
535,0,3,3,2,1,2,2
1087,2,2,0,0,0,2,2
611,0,0,2,1,0,0,0
756,0,1,0,0,2,1,2
1014,2,0,1,1,0,1,2
1639,1,1,0,2,2,2,2
1311,1,3,0,1,0,1,2
1406,1,0,0,0,2,0,2
30,3,3,1,0,1,1,2
974,2,0,0,0,2,0,2
1703,1,1,3,0,2,0,2
872,2,3,0,0,0,0,2
438,0,3,0,0,0,1,2
1673,1,1,1,2,0,0,3
1612,1,2,3,2,2,2,0
860,0,1,3,2,1,0,0
1463,1,0,2,0,1,0,2
359,3,1,1,0,0,0,2
72,3,3,2,2,2,1,2
569,0,0,1,0,2,0,2
591,0,0,1,2,0,1,2
483,0,3,1,2,0,1,2
1520,1,2,0,0,0,0,2
1182,2,2,3,2,1,1,2
1104,2,2,0,2,0,1,2
546,0,0,0,0,0,1,2
260,3,2,1,1,0,0,0
1329,1,3,1,0,0,1,2
1525,1,2,0,1,1,2,0
1180,2,2,3,2,2,2,0
859,0,1,3,2,1,2,0
1434,1,0,1,0,1,1,2
1423,1,0,0,2,2,2,2
576,0,0,1,1,2,1,2
398,3,1,2,2,2,0,0
321,3,2,3,2,0,1,2
455,0,3,0,2,1,0,2
1413,1,0,0,1,2,1,2
1610,1,2,3,1,0,0,3
1446,1,0,1,1,0,1,2
1214,2,1,0,2,0,0,3
918,2,3,2,0,2,1,2
1048,2,0,2,2,1,2,0
1421,1,0,0,1,0,0,3
1430,1,0,0,2,0,0,3
509,0,3,2,2,1,0,2
657,0,2,0,1,2,1,2
336,3,1,0,1,1,1,2
67,3,3,2,1,1,2,2
1399,1,3,3,2,1,2,0
1081,2,2,0,0,2,2,2
268,3,2,1,2,0,2,0
183,3,0,2,2,1,1,2
677,0,2,1,0,2,0,2
10,3,3,0,1,2,2,2
68,3,3,2,1,1,0,2
1401,1,3,3,2,0,1,2
1264,2,1,2,2,1,2,1
71,3,3,2,1,0,0,2
618,0,0,2,2,0,1,2
363,3,1,1,1,1,1,2
1392,1,3,3,1,0,1,2
1141,2,2,2,0,0,2,2
843,0,1,3,0,0,1,2
136,3,0,1,0,2,2,2
1545,1,2,1,0,0,1,2
357,3,1,1,0,0,1,2
190,3,0,3,0,2,2,2
1333,1,3,1,1,2,2,2
763,0,1,0,0,0,2,2
1149,2,2,2,1,0,1,2
1101,2,2,0,2,1,1,2
665,0,2,0,1,0,0,0
237,3,2,0,2,1,1,2
1712,1,1,3,1,2,0,1
314,3,2,3,1,0,0,0
1488,1,0,3,0,1,1,2
1352,1,3,2,0,2,0,2
571,0,0,1,0,1,2,2
1634,1,1,0,1,1,0,1
1347,1,3,1,2,0,1,2
1306,1,3,0,1,2,2,2
396,3,1,2,2,2,1,2
1137,2,2,2,0,1,1,2
1493,1,0,3,0,0,0,2
465,0,3,1,0,0,1,2
1325,1,3,1,0,2,0,2
558,0,0,0,2,2,1,2
1011,2,0,1,1,1,1,2
1528,1,2,0,1,0,2,1
1209,2,1,0,2,1,1,2
689,0,2,1,1,1,0,0
947,2,3,3,0,2,0,2
898,2,3,1,0,0,2,2
1174,2,2,3,1,1,2,0
692,0,2,1,1,0,0,0
694,0,2,1,2,2,2,2
1215,2,1,1,0,2,1,2
32,3,3,1,0,1,0,2
523,0,3,3,1,2,2,2
1699,1,1,2,2,0,2,1
1022,2,0,1,2,1,0,0
291,3,2,2,2,1,1,2
1437,1,0,1,0,0,1,2
327,3,1,0,0,1,1,2
672,0,2,0,2,0,1,2
158,3,0,1,2,1,0,2
744,0,2,3,1,0,1,2
834,0,1,2,2,0,1,2
1724,1,1,3,2,1,0,3
1397,1,3,3,2,2,0,0
1428,1,0,0,2,0,1,2
1270,2,1,3,0,2,2,2
247,3,2,1,0,1,2,2
764,0,1,0,0,0,0,2
1055,2,0,3,0,2,0,2
153,3,0,1,2,2,1,2
736,0,2,3,0,0,2,2
650,0,2,0,0,2,0,2
1296,1,3,0,0,2,1,2
552,0,0,0,1,1,1,2
1259,2,1,2,1,0,0,3
87,3,3,3,0,0,1,2
86,3,3,3,0,1,0,2
103,3,3,3,2,1,2,2
329,3,1,0,0,1,0,2
1549,1,2,1,1,2,2,0
765,0,1,0,1,2,1,2
978,2,0,0,0,0,1,2
494,0,3,2,0,0,0,2
520,0,3,3,0,0,2,2
951,2,3,3,0,0,1,2
1408,1,0,0,0,1,2,2
559,0,0,0,2,2,2,2
302,3,2,3,0,1,0,2
1531,1,2,0,2,2,2,2
497,0,3,2,1,2,0,2
787,0,1,1,0,1,2,2
1613,1,2,3,2,2,0,1
539,0,3,3,2,0,0,2
1369,1,3,2,2,2,2,2
436,0,3,0,0,1,2,2
517,0,3,3,0,1,2,2
1574,1,2,2,0,0,0,2
1667,1,1,1,2,2,0,1
491,0,3,2,0,1,0,2
1160,2,2,2,2,0,0,3
684,0,2,1,1,2,1,2
983,2,0,0,1,2,0,0
295,3,2,2,2,0,2,0
560,0,0,0,2,2,0,2
1258,2,1,2,1,0,2,1
1498,1,0,3,1,1,2,0
1433,1,0,1,0,2,0,2
1063,2,0,3,1,2,2,2
473,0,3,1,1,1,0,2
695,0,2,1,2,2,0,0
331,3,1,0,0,0,2,2
537,0,3,3,2,0,1,2
378,3,1,2,0,2,1,2
1242,2,1,2,0,2,1,2
1526,1,2,0,1,1,0,1
231,3,2,0,1,0,1,2
1150,2,2,2,1,0,2,0
120,3,0,0,1,1,1,2
1578,1,2,2,1,1,1,2
926,2,3,2,0,0,0,2
138,3,0,1,0,1,1,2
943,2,3,2,2,0,2,0
1429,1,0,0,2,0,2,0
1499,1,0,3,1,1,0,3
1511,1,0,3,2,0,0,3
850,0,1,3,1,1,2,0
78,3,3,2,2,0,1,2
97,3,3,3,1,0,2,2
1308,1,3,0,1,1,1,2
1359,1,3,2,1,2,1,2
856,0,1,3,2,2,2,2
132,3,0,0,2,0,1,2
750,0,2,3,2,1,1,2
889,2,3,0,2,0,2,0
1675,1,1,2,0,2,2,2
1091,2,2,0,1,2,0,0
164,3,0,2,0,2,0,2
187,3,0,2,2,0,2,2
1129,2,2,1,2,1,2,0
1061,2,0,3,0,0,0,2
413,3,1,3,0,0,0,2
874,2,3,0,1,2,2,2
1012,2,0,1,1,1,2,2
653,0,2,0,0,1,0,2
903,2,3,1,1,1,1,2
607,0,0,2,1,1,2,0
1414,1,0,0,1,2,2,0
1252,2,1,2,1,2,2,0
790,0,1,1,0,0,2,2
440,0,3,0,0,0,0,2
211,3,0,3,2,1,2,2
1218,2,1,1,0,1,1,2
184,3,0,2,2,1,2,2
1672,1,1,1,2,0,2,1
1356,1,3,2,0,0,1,2
1466,1,0,2,0,0,0,2
826,0,1,2,1,0,2,0
1676,1,1,2,0,2,0,2
1077,2,0,3,2,0,1,2
1562,1,2,1,2,1,0,3
1096,2,2,0,1,0,2,0
1224,2,1,1,1,2,1,2
654,0,2,0,0,0,1,2
1024,2,0,1,2,0,2,0
1008,2,0,1,1,2,1,2
1474,1,0,2,1,0,2,0
1290,2,1,3,2,1,1,2
1201,2,1,0,1,1,2,0
871,2,3,0,0,0,2,2
1015,2,0,1,1,0,2,0
1495,1,0,3,1,2,2,0
710,0,2,2,0,0,0,2
2,3,3,0,0,2,0,2
1459,1,0,2,0,2,2,2
880,2,3,0,1,0,2,0
206,3,0,3,1,0,0,2
587,0,0,1,2,2,0,0
312,3,2,3,1,0,1,2
1462,1,0,2,0,1,2,2
682,0,2,1,0,0,2,2
1237,2,1,1,2,1,2,1
460,0,3,1,0,2,2,2
1196,2,1,0,0,0,0,2
973,2,0,0,0,2,2,2
416,3,1,3,1,2,0,0
510,0,3,2,2,0,1,2
1175,2,2,3,1,1,0,3
1604,1,2,3,1,2,0,1
289,3,2,2,2,2,2,2
1139,2,2,2,0,1,0,2
1085,2,2,0,0,1,0,2
303,3,2,3,0,0,1,2
637,0,0,3,1,0,2,0
791,0,1,1,0,0,0,2
866,2,3,0,0,2,0,2
1601,1,2,3,0,0,0,2
350,3,1,0,2,0,0,0
1487,1,0,3,0,2,0,2
574,0,0,1,0,0,2,2
989,2,0,0,1,0,0,0
1197,2,1,0,1,2,1,2
719,0,2,2,1,0,0,0
1368,1,3,2,2,2,1,2
1550,1,2,1,1,2,0,1
414,3,1,3,1,2,1,2
816,0,1,2,0,0,1,2
66,3,3,2,1,1,1,2
492,0,3,2,0,0,1,2
343,3,1,0,2,2,2,2
531,0,3,3,2,2,1,2
929,2,3,2,1,2,0,0
1646,1,1,0,2,0,0,3
1410,1,0,0,0,0,1,2
152,3,0,1,1,0,0,2
602,0,0,2,0,0,0,2
150,3,0,1,1,0,1,2
1653,1,1,1,0,0,1,2
614,0,0,2,2,2,0,0
776,0,1,0,2,2,0,2
1171,2,2,3,1,2,2,0
54,3,3,2,0,2,1,2
1374,1,3,2,2,0,1,2
1553,1,2,1,1,1,0,1
1665,1,1,1,2,2,1,2
422,3,1,3,1,0,0,0
1164,2,2,3,0,1,1,2
745,0,2,3,1,0,2,0
1655,1,1,1,0,0,0,2
201,3,0,3,1,1,1,2
901,2,3,1,1,2,2,2
630,0,0,3,1,2,1,2
1643,1,1,0,2,1,0,1
210,3,0,3,2,1,1,2
107,3,3,3,2,0,0,2
1641,1,1,0,2,1,1,2
958,2,3,3,1,1,2,0
1117,2,2,1,1,2,2,0
235,3,2,0,2,2,2,2
1523,1,2,0,1,2,0,1
762,0,1,0,0,0,1,2
1597,1,2,3,0,1,2,2
354,3,1,1,0,1,1,2
1706,1,1,3,0,1,0,2
1028,2,0,2,0,2,0,2
1004,2,0,1,0,1,0,2
1451,1,0,1,2,2,0,0
1683,1,1,2,1,2,1,2
1589,1,2,2,2,1,0,3
731,0,2,3,0,2,0,2
777,0,1,0,2,1,1,2
1118,2,2,1,1,2,0,0
1424,1,0,0,2,2,0,2
1044,2,0,2,2,2,1,2
85,3,3,3,0,1,2,2
301,3,2,3,0,1,2,2
1350,1,3,2,0,2,1,2
1620,1,1,0,0,2,1,2
341,3,1,0,1,0,0,0
48,3,3,1,2,1,1,2
1456,1,0,1,2,0,2,0
1071,2,0,3,2,2,1,2
1062,2,0,3,1,2,1,2
320,3,2,3,2,1,0,0
847,0,1,3,1,2,2,2
848,0,1,3,1,2,0,0
662,0,2,0,1,1,0,0
1686,1,1,2,1,1,1,2
939,2,3,2,2,1,1,2
1316,1,3,0,2,2,0,2
406,3,1,3,0,2,2,2
1288,2,1,3,2,2,2,0
655,0,2,0,0,0,2,2
435,0,3,0,0,1,1,2
1633,1,1,0,1,1,2,0
198,3,0,3,1,2,1,2
1717,1,1,3,1,0,2,1
1449,1,0,1,2,2,1,2
31,3,3,1,0,1,2,2
578,0,0,1,1,2,0,0
519,0,3,3,0,0,1,2
242,3,2,0,2,0,0,0
1075,2,0,3,2,1,2,0
1228,2,1,1,1,1,2,0
113,3,0,0,0,1,0,2
7,3,3,0,0,0,2,2
722,0,2,2,2,2,0,0
496,0,3,2,1,2,2,2
1108,2,2,1,0,2,2,2
1426,1,0,0,2,1,2,0
1568,1,2,2,0,2,0,2
1184,2,2,3,2,1,0,3
1334,1,3,1,1,2,0,0
1078,2,0,3,2,0,2,0
1186,2,2,3,2,0,2,0
332,3,1,0,0,0,0,2
121,3,0,0,1,1,2,2
443,0,3,0,1,2,0,2
281,3,2,2,1,2,0,0
585,0,0,1,2,2,1,2
1664,1,1,1,1,0,0,3
1647,1,1,1,0,2,1,2
139,3,0,1,0,1,2,2
1575,1,2,2,1,2,1,2
479,0,3,1,2,2,0,2
948,2,3,3,0,1,1,2
896,2,3,1,0,1,0,2
931,2,3,2,1,1,2,0
464,0,3,1,0,1,0,2
1127,2,2,1,2,2,0,0
452,0,3,0,2,2,0,2
893,2,3,1,0,2,0,2
1031,2,0,2,0,1,0,2
1069,2,0,3,1,0,2,0
620,0,0,2,2,0,0,0
747,0,2,3,2,2,1,2
1289,2,1,3,2,2,0,1
1157,2,2,2,2,1,0,3
1441,1,0,1,1,2,2,0
752,0,2,3,2,1,0,0
1668,1,1,1,2,1,1,2
739,0,2,3,1,2,2,2
251,3,2,1,0,0,0,2
1677,1,1,2,0,1,1,2
1034,2,0,2,0,0,0,2
751,0,2,3,2,1,2,0
980,2,0,0,0,0,0,2
839,0,1,3,0,2,0,2
26,3,3,0,2,0,0,2
1479,1,0,2,2,1,1,2
41,3,3,1,1,1,0,2
480,0,3,1,2,1,1,2
595,0,0,2,0,2,2,2
1617,1,2,3,2,0,1,2
1003,2,0,1,0,1,2,2
1558,1,2,1,2,2,2,0
16,3,3,0,1,0,2,2
215,3,0,3,2,0,0,2
613,0,0,2,2,2,2,2
709,0,2,2,0,0,2,2
83,3,3,3,0,2,0,2
212,3,0,3,2,1,0,2
1304,1,3,0,0,0,0,2
1678,1,1,2,0,1,2,2
1255,2,1,2,1,1,2,1
